gross_binned,budget_per_minute,likes_per_review,weighted_imdb_score,budget_score_ratio,likes_score_ratio,cluster
10M-50M,625000.0,0.0,762.5,12295079.951626237,0.0,0
10M-50M,725663.7168141593,0.0,857.6,12812497.998047186,0.0,0
10M-50M,862068.9655172413,0.0,400.4000000000001,17045450.671488483,0.0,0
10M-50M,727272.7272727273,0.0,1722.5,12307690.414201474,0.0,3
10M-50M,625000.0,0.0,971.5,11940296.725328846,0.0,3
10M-50M,909090.9090909091,0.0,789.5999999999999,14285711.734694332,0.0,0
10M-50M,824175.8241758242,0.0,1026.8999999999999,11904760.015117457,0.0,3
10M-50M,808080.808080808,0.0,878.4,13114751.94840132,0.0,3
10M-50M,683760.6837606838,0.0,1740.2,10389609.040310513,0.0,3
10M-50M,609756.0975609756,0.0,945.1999999999999,11029410.142733803,0.0,3
10M-50M,677966.1016949152,0.0,1419.0,12121210.28466511,0.0,3
200M+,512987.012987013,0.0,1425.6000000000001,10972220.69830268,0.0,2
200M+,888888.8888888889,0.0,275.6,15384612.426036071,0.0,2
200M+,707964.6017699115,0.0,818.3000000000001,16326527.280300554,0.0,2
200M+,909090.9090909091,0.0,289.79999999999995,12698410.682791956,0.0,2
200M+,698924.7311827957,0.0,823.1999999999999,11607140.784439147,0.0,2
200M+,769230.7692307692,0.0,1518.0,14545451.900826927,0.0,2
200M+,555555.5555555555,0.0,536.0,11194028.179995794,0.0,2
200M+,714285.7142857143,0.0,552.9,12280699.599877262,0.0,2
10M-50M,1000000.0,0.0,657.8,17391300.56710857,0.0,0
200M+,784313.725490196,0.0,925.6,15384612.426036071,0.0,2
200M+,615384.6153846154,0.0,520.1999999999999,15686271.434064426,0.0,2
200M+,620155.0387596899,0.0,1379.3999999999999,12121210.28466511,0.0,2
0-10M,683760.6837606838,4.549999999999997,133.0,11428569.7959186,12.999998142857521,1
10M-50M,3200000.0,0.0,235.60000000000002,10526314.404432315,0.0,0
200M+,789473.6842105263,0.0,196.0,16071425.701531127,0.0,2
200M+,808080.808080808,0.0,1079.0,12307690.414201474,0.0,2
50M-100M,581395.3488372093,6.891304347826086,808.3000000000001,12711862.252226736,161.18641335823497,0
50M-100M,888888.8888888889,0.0,461.09999999999997,15094336.774653438,0.0,0
50M-100M,745762.7118644068,0.0,1374.7,14915251.70927937,0.0,3
50M-100M,660377.358490566,0.0,831.6,11111109.34744296,0.0,0
50M-100M,905349.7942386831,4.015625,403.20000000000005,11458331.542969028,40.15624372558693,0
50M-100M,655270.6552706553,0.0,655.5,11111109.500805385,0.0,0
50M-100M,898876.404494382,0.0,1625.3999999999999,12698410.682791956,0.0,3
50M-100M,551724.1379310344,0.0,1182.6,10958902.608369505,0.0,3
50M-100M,701754.3859649122,0.0,353.79999999999995,13793101.070154987,0.0,0
50M-100M,919540.2298850574,0.0,587.6,15384612.426036071,0.0,0
50M-100M,369747.8991596639,0.0,417.59999999999997,18333325.694447625,0.0,0
50M-100M,879120.8791208791,6.519607843137258,575.7,14035085.257002586,116.66664619883397,0
50M-100M,677966.1016949152,0.0,1189.0,13793101.070154987,0.0,3
50M-100M,689655.1724137932,0.0,688.8,14285711.734694332,0.0,0
50M-100M,451977.4011299435,0.0,474.0,13333331.11111148,0.0,0
50M-100M,824742.2680412371,15.548387096774192,353.79999999999995,13793101.070154987,166.20686789536762,0
50M-100M,660377.358490566,6.815068493150683,826.5,12280699.599877262,174.56137288396974,0
50M-100M,914893.6170212766,9.225490196078432,606.0,14333330.944444843,156.83330719444882,0
50M-100M,384615.3846153846,0.0,881.4,5128204.470743016,0.0,0
0-10M,509803.92156862747,6.8859649122806985,474.6000000000001,12380949.433107277,186.90471740363864,1
200M+,89887.64044943822,34.5,13.199999999999932,1818181.404958771,31.363629235538838,2
10M-50M,840425.5319148937,0.0,1032.3999999999999,13620687.306778051,0.0,3
200M+,629032.2580645161,0.0,1512.0,10833331.828703912,0.0,2
200M+,735294.1176470588,0.0,938.0,14925370.90666106,0.0,2
10M-50M,710280.3738317757,0.0,885.0,12881353.748923093,0.0,3
50M-100M,808080.808080808,0.0,1368.8000000000002,13559319.735708518,0.0,3
50M-100M,826086.956521739,8.259999999999994,200.89999999999998,18536580.84473638,100.73168274837008,0
200M+,709090.9090909091,0.0,1171.6,13448273.543401115,0.0,2
100M-200M,565891.472868217,0.0,1150.5,11230767.502958845,0.0,2
10M-50M,872093.023255814,0.0,1248.9,10869563.642092224,0.0,3
10M-50M,721153.8461538461,0.0,2146.0,10135133.765522463,0.0,3
10M-50M,681818.1818181818,0.0,2117.2000000000003,11194028.179995794,0.0,3
10M-50M,695652.1739130435,0.0,1131.6000000000001,11594201.218231706,0.0,3
10M-50M,641025.641025641,0.0,1467.3,11194028.179995794,0.0,3
50M-100M,400000.0,5.31547619047619,851.6999999999999,9803919.646290265,175.09800488274414,0
200M+,350000.0,9.25925925925926,577.8000000000001,6481480.281207355,185.18515089163873,2
200M+,604838.7096774194,0.0,790.6,12711862.252226736,0.0,2
200M+,735294.1176470588,0.0,1909.8999999999999,10563378.79389031,0.0,2
10M-50M,833333.3333333334,0.0,858.0,12499997.916667014,0.0,0
10M-50M,538461.5384615385,0.0,1566.5,10769229.11242629,0.0,3
200M+,1366666.666666667,0.0,99.60000000000002,7409637.661489438,0.0,2
200M+,449152.5423728814,0.0,917.7,9298243.982764212,0.0,2
50M-100M,429447.8527607362,0.0,2264.7999999999997,9210525.103878276,0.0,3
50M-100M,492957.74647887325,0.0,587.4,10606058.99908197,0.0,0
50M-100M,750000.0,0.0,756.0,13888886.316872902,0.0,0
50M-100M,610687.0229007633,0.0,806.0,12307690.414201474,0.0,0
200M+,824175.8241758242,0.0,1254.0,11363634.64187354,0.0,2
50M-100M,650406.5040650406,0.0,871.1999999999999,12121210.28466511,0.0,0
50M-100M,410447.7611940298,0.0,312.70000000000005,9322032.318299606,0.0,0
50M-100M,506756.75675675675,0.0,609.7,11194028.179995794,0.0,0
50M-100M,460176.99115044245,0.0,1003.1999999999999,7878786.685032321,0.0,0
50M-100M,797872.340425532,0.0,864.5999999999999,11363634.64187354,0.0,0
50M-100M,646551.724137931,4.872180451127818,699.6,14150940.726237599,122.26412787469269,0
50M-100M,757575.7575757576,0.0,402.0,12499997.916667014,0.0,0
0-10M,892857.1428571428,0.0,780.0,12499997.916667014,0.0,1
0-10M,806451.6129032257,9.10666666666667,347.79999999999995,15957443.413309913,145.3191180172089,1
50M-100M,398230.08849557524,8.695652173913043,695.4,7377047.970975743,163.93439935501647,0
200M+,707547.1698113207,0.0,2116.8,10416665.219907608,0.0,2
200M+,704081.6326530612,7.457627118644069,690.3000000000001,11694913.272048596,149.1525170927937,2
50M-100M,559701.4925373135,0.0,648.0,12499997.916667014,0.0,0
200M+,625000.0,0.0,985.5999999999999,12499997.767857542,0.0,2
200M+,490196.07843137253,0.0,1472.0,11718748.168945597,0.0,2
50M-100M,636363.6363636364,0.0,1661.3999999999999,9859153.54096429,0.0,3
10M-50M,598360.655737705,0.0,1082.3999999999999,11060604.384756912,0.0,3
10M-50M,827586.2068965519,2.891304347826086,418.6,15652170.510397717,57.82607438563605,0
200M+,560000.0,0.0,1860.1999999999998,9859153.54096429,0.0,2
50M-100M,473684.2105263158,0.0,883.2,10434781.096408537,0.0,0
50M-100M,620689.6551724138,8.054545454545455,490.5,15999996.444445234,196.88884513581218,0
50M-100M,547339.4495412844,22.471910112359552,624.8,8402815.71791328,281.6901011704083,0
10M-50M,555555.5555555555,0.0,1696.5,9230767.810651107,0.0,3
10M-50M,841176.4705882352,9.378378378378379,386.9,13490563.49234651,130.9433715201186,0
100M-200M,679245.283018868,0.0,1393.6000000000001,10746267.052795961,0.0,2
10M-50M,603448.275862069,0.0,566.5,12727270.41322356,0.0,0
10M-50M,575539.5683453238,12.499999999999996,521.4,12121210.28466511,151.5151285583138,0
10M-50M,564516.1290322581,0.0,1008.1999999999999,9859153.54096429,0.0,3
10M-50M,683760.6837606838,0.0,864.0,13333331.11111148,0.0,3
10M-50M,482269.5035460993,0.0,1055.7,9855071.03549695,0.0,3
50M-100M,636363.6363636364,0.0,1590.3999999999999,12499997.767857542,0.0,3
200M+,550458.7155963302,0.0,1383.1999999999998,10714283.80102075,0.0,2
200M+,563106.7961165048,6.211180124223603,1024.0,9062498.583984595,156.24997558594134,2
200M+,560000.0,0.0,365.79999999999995,11290320.759625683,0.0,2
200M+,406432.7485380117,0.0,623.1999999999999,9144735.638850573,0.0,2
50M-100M,603448.275862069,0.0,756.0,11111109.34744296,0.0,0
50M-100M,514705.8823529412,0.0,532.0,9999998.571428776,0.0,0
50M-100M,630630.6306306307,0.0,980.5,13207544.67782176,0.0,0
50M-100M,603448.275862069,6.139534883720927,716.8,12499997.767857542,141.42854617347393,0
50M-100M,530973.4513274336,0.0,1232.4,11538459.319527052,0.0,3
50M-100M,721649.4845360825,5.009433962264147,567.0,12962960.56241471,98.33331512346012,0
50M-100M,480000.0,8.823008849557525,705.6,9523808.012093967,158.25394313429467,0
50M-100M,301724.1379310345,89.47368421052632,1228.5,5384614.556213145,2615.3842130178127,3
50M-100M,769230.7692307692,4.204301075268816,331.20000000000005,19444439.043211374,108.61108094136637,0
50M-100M,721649.4845360825,10.1875,458.2,12068963.436385615,140.5172171522039,0
50M-100M,736842.1052631579,24.390243902439025,502.2,11290320.759625683,322.58059313216245,0
50M-100M,660377.358490566,0.0,1201.6999999999998,11475407.954851156,0.0,3
0-10M,603448.275862069,4.774999999999999,667.8000000000001,16666662.698413644,181.90471859411468,1
10M-50M,548387.0967741936,0.0,1126.4,10624998.339844009,0.0,3
200M+,548387.0967741936,0.0,958.8,9999998.52941198,0.0,2
50M-100M,647619.0476190476,15.048780487804876,224.0,12142854.974490184,110.17855175382999,0
50M-100M,537190.0826446281,0.0,750.0,10833331.527778078,0.0,0
50M-100M,324324.3243243243,42.016806722689076,1398.3000000000002,6101693.881068833,1694.9149669635647,3
50M-100M,433121.01910828025,0.0,1651.1000000000001,8607593.847140018,0.0,3
50M-100M,546875.0,0.0,1689.8,9859153.54096429,0.0,3
200M+,609649.1228070175,0.0,1121.0,11779659.020396775,0.0,2
200M+,584070.7964601769,0.0,855.6,10645159.573361358,0.0,2
200M+,545454.5454545454,0.0,994.0,9428570.081632845,0.0,2
0-10M,343137.2549019608,0.0,486.00000000000006,6481480.281207355,0.0,1
10M-50M,551181.1023622047,0.0,953.6,10937498.291015891,0.0,3
10M-50M,572815.5339805825,15.463917525773198,1466.8,7763156.873268832,394.7367901662119,3
50M-100M,500000.0,22.727272727272727,962.5,12363634.115702888,727.2725950413463,0
10M-50M,442857.14285714284,31.25,1208.3999999999999,8157893.663435045,657.8946502770198,3
10M-50M,576923.0769230769,12.345679012345677,440.00000000000006,10909088.925620195,181.81814876033673,0
10M-50M,546218.487394958,0.0,994.5,9999998.461538699,0.0,3
10M-50M,613207.5471698113,0.0,1193.7,9420288.489813263,0.0,3
200M+,477941.17647058825,0.0,1045.2,9701491.089329688,0.0,2
200M+,500000.0,0.0,1081.6000000000001,10156248.413086185,0.0,2
200M+,564516.1290322581,0.0,473.6000000000001,10937498.291015891,0.0,2
200M+,462962.962962963,0.0,431.99999999999994,8333331.944444676,0.0,2
200M+,576923.0769230769,0.0,524.6,9836063.96130099,0.0,2
200M+,488372.0930232558,0.0,1452.0,10499998.25000029,0.0,2
200M+,555555.5555555555,0.0,902.4000000000001,10156248.413086185,0.0,2
200M+,532786.8852459016,0.0,1091.5,11016947.285263171,0.0,2
50M-100M,148245.61403508772,0.0,620.8000000000001,2640624.587402408,0.0,0
50M-100M,454545.45454545453,5.83050847457627,783.9,9701491.089329688,102.68655183782812,0
50M-100M,405405.4054054054,0.0,1472.0,7031248.901367359,0.0,3
50M-100M,537190.0826446281,42.10526315789474,629.8000000000001,9701491.089329688,597.0148362664424,0
50M-100M,481481.48148148146,6.607407407407411,830.8000000000001,10483869.276795277,143.87094453694453,0
50M-100M,643564.3564356435,0.0,829.5999999999999,10655735.958076073,0.0,0
50M-100M,496183.2061068702,0.0,681.5999999999999,9154928.288038269,0.0,0
50M-100M,1125000.0,0.0,113.39999999999998,8333332.304526877,0.0,0
50M-100M,700000.0,0.0,342.0,12280699.599877262,0.0,0
50M-100M,619047.619047619,2.9016393442622928,300.0,12999997.40000052,35.39999292000152,0
0-10M,384615.3846153846,0.0,876.3000000000001,7246375.761394816,0.0,1
50M-100M,430000.0,0.0,940.8,8958331.467014277,0.0,0
50M-100M,481203.007518797,3.0412371134020617,489.59999999999997,12549017.14725154,57.84312591311243,0
100M-200M,670212.7659574468,0.0,1202.8,10161288.683663115,0.0,2
50M-100M,691489.3617021276,0.0,869.4,10317458.679768464,0.0,0
50M-100M,297169.8113207547,0.0,264.0,9545453.099173773,0.0,0
10M-50M,439716.3120567376,0.0,289.79999999999995,8985505.944129573,0.0,0
0-10M,631067.9611650485,0.0,414.7999999999999,10655735.958076073,0.0,1
200M+,653061.224489796,0.0,335.4,14883717.468902916,0.0,2
200M+,534482.7586206896,0.0,1174.8,9393937.97061546,0.0,2
200M+,543859.649122807,0.0,510.0,9117645.717993276,0.0,2
50M-100M,712643.6781609196,0.0,570.0,16315785.180056531,0.0,0
50M-100M,336000.0,0.0,666.7,7118642.861246972,0.0,0
10M-50M,655913.9784946237,0.0,1203.3,9682538.145628866,0.0,3
10M-50M,663157.8947368421,0.0,858.0,11454543.371901205,0.0,0
100M-200M,754716.9811320754,0.0,888.3,12698410.682791956,0.0,2
10M-50M,504201.6806722689,0.0,1967.1000000000001,7594935.747476487,0.0,3
10M-50M,446153.8461538461,0.0,986.4,8055554.43672855,0.0,3
10M-50M,818965.5172413795,7.7631578947368425,711.9,15079362.685815446,140.47616817838605,0
10M-50M,707070.7070707071,0.0,840.0,9999998.571428776,0.0,0
10M-50M,652173.9130434783,10.804878048780491,445.50000000000006,10909088.925620195,161.09087980165828,0
200M+,689655.1724137932,0.0,546.0,11538459.319527052,0.0,2
10M-50M,540540.5405405406,0.0,1085.0,8571427.346938951,0.0,3
200M+,594059.405940594,0.0,719.8,9836063.96130099,0.0,2
10M-50M,530973.4513274336,0.0,913.0,10909088.925620195,0.0,3
200M+,560747.6635514018,0.0,354.0,10169489.801781388,0.0,2
200M+,638297.8723404255,10.012820512820511,415.8,11111109.053498322,144.62960284636983,2
200M+,480000.0,0.0,810.7,8955222.543996634,0.0,2
200M+,352564.10256410256,0.0,1162.8,8088234.104671455,0.0,2
200M+,352941.17647058825,0.0,624.0,9230767.810651107,0.0,2
10M-50M,541666.6666666666,0.0,2272.4,8552630.453601256,0.0,3
200M+,600000.0,0.0,918.5,10909088.925620195,0.0,2
200M+,478260.8695652174,0.0,812.5,8461537.159763513,0.0,2
200M+,571428.5714285715,0.0,1154.2,10344825.80261624,0.0,2
200M+,540540.5405405406,0.0,992.8,8219176.956277129,0.0,2
200M+,674157.3033707865,11.594594594594597,321.20000000000005,13636360.537190786,194.99995568182817,2
200M+,510204.0816326531,9.7012987012987,334.4000000000001,11363633.780992322,169.77268868802526,2
200M+,594059.405940594,0.0,1055.3,9836063.96130099,0.0,2
200M+,638297.8723404255,0.0,437.40000000000003,11111109.053498322,0.0,2
200M+,500000.0,0.0,1645.6,9705880.925605746,0.0,2
200M+,521739.1304347826,9.00900900900901,715.0,9230767.810651107,153.8461301775185,2
200M+,483870.96774193546,0.0,522.9,9523808.012093967,0.0,2
200M+,504201.6806722689,0.0,1234.8,9523808.012093967,0.0,2
200M+,483870.96774193546,23.685714285714283,207.39999999999998,9836063.96130099,135.90161706530864,2
200M+,645161.2903225806,0.0,719.8,9836063.96130099,0.0,2
200M+,612244.8979591837,9.71951219512195,429.3,11320752.58099008,150.37733011748492,2
50M-100M,646551.724137931,0.0,1404.8999999999999,11904760.015117457,0.0,3
50M-100M,491935.48387096776,0.0,1425.6000000000001,8472221.045524854,0.0,3
50M-100M,461538.46153846156,0.0,561.1999999999999,7868851.169040793,0.0,0
50M-100M,391304.347826087,5.544642857142854,555.0,8999998.20000036,124.19997516000501,0
50M-100M,594059.405940594,0.0,855.6,9677417.793964872,0.0,0
50M-100M,600000.0,0.0,833.0000000000001,12244895.460225414,0.0,0
50M-100M,472440.94488188974,0.0,1789.1999999999998,8450703.035112249,0.0,3
50M-100M,480000.0,0.0,1308.2,9677417.793964872,0.0,3
50M-100M,691489.3617021276,8.96,240.10000000000002,13265303.4152442,91.42855276968305,0
50M-100M,560747.6635514018,4.2592592592592595,982.0999999999999,9836063.96130099,113.1147355549615,0
50M-100M,769230.7692307692,0.0,951.5999999999999,11475407.954851156,0.0,0
50M-100M,517241.3793103448,0.0,1100.8,9374998.535156477,0.0,0
50M-100M,600000.0,0.0,1014.3,9523808.012093967,0.0,0
50M-100M,683760.6837606838,0.0,1702.8,12121210.28466511,0.0,3
50M-100M,363636.36363636365,9.958333333333332,541.5,7017542.628501293,167.7192688211809,0
50M-100M,625000.0,7.981132075471702,619.5,10169489.801781388,143.38980620511757,0
50M-100M,594059.405940594,0.0,1188.0,9999998.333333611,0.0,3
50M-100M,540540.5405405406,0.0,481.9,9836063.96130099,0.0,0
50M-100M,512820.5128205128,0.0,1407.0,8955222.543996634,0.0,3
50M-100M,476190.4761904762,0.0,837.5,8955222.543996634,0.0,0
50M-100M,854651.1627906975,6.0256410256410255,385.0,14699997.060000587,93.99998120000373,0
50M-100M,705882.3529411765,8.88888888888889,656.6,8955222.543996634,131.3432639786173,0
50M-100M,461538.46153846156,57.80346820809248,1152.4,8955222.543996634,1492.5370906661058,3
50M-100M,576923.0769230769,0.0,713.6999999999999,9836063.96130099,0.0,0
50M-100M,413223.14049586776,0.0,1344.0,8928569.83418396,0.0,3
50M-100M,428571.4285714286,16.129032258064516,811.8,9090907.71349883,303.0302571166277,0
50M-100M,458015.2671755725,0.0,759.0,8695650.91367378,0.0,0
50M-100M,714285.7142857143,5.831683168316829,480.00000000000006,13541663.845486699,122.70830776910259,0
50M-100M,666666.6666666666,6.1796875000000036,622.3000000000001,12244895.460225414,161.4285384839717,0
50M-100M,291262.1359223301,0.0,1097.6,5357141.900510375,0.0,0
50M-100M,450819.6721311475,5.525862068965516,701.5,9016391.964525908,105.08194998656563,0
50M-100M,566037.7358490566,0.0,982.0999999999999,9836063.96130099,0.0,0
50M-100M,582524.2718446602,8.92857142857143,1070.3999999999999,12499997.395833876,416.6665798611292,0
0-10M,384615.3846153846,0.0,532.0,15789469.529086966,0.0,1
0-10M,275590.55118110235,0.0,351.0,5384614.556213145,0.0,1
0-10M,571470.5882352941,28.4,84.0,11334164.777639203,70.99998816666869,1
50M-100M,606060.6060606061,0.0,542.7,11940296.725328846,0.0,0
50M-100M,526315.7894736842,5.192982456140349,274.4000000000001,12244895.460225414,60.408150937112055,0
200M+,136363.63636363635,47.142857142857146,132.0,454545.38567494135,149.9999772727307,2
50M-100M,610526.3157894737,0.0,951.4,8656715.125863414,0.0,0
50M-100M,666666.6666666666,8.62068965517241,205.20000000000005,16666662.037038323,138.88885030865265,0
50M-100M,508771.9298245614,2.524064171122994,1116.0,9666665.055555824,78.66665355555779,3
50M-100M,487394.9579831933,0.0,259.70000000000005,11836732.2782179,0.0,0
50M-100M,563106.7961165048,0.0,625.1,12340422.906292997,0.0,0
50M-100M,464000.0,0.0,849.6,9830506.808388676,0.0,0
200M+,1916666.6666666665,0.0,322.0,8214284.540816494,0.0,2
200M+,553398.0582524271,0.0,384.0,8906248.608398654,0.0,2
50M-100M,597938.1443298969,6.627118644067799,737.1,9206347.745024167,124.12696442429137,0
50M-100M,435114.5038167939,0.0,566.4000000000001,9661015.31169232,0.0,0
10M-50M,589473.6842105263,0.0,687.5,10181816.330578849,0.0,0
50M-100M,651162.7906976744,0.0,725.4,9032256.607700547,0.0,0
100M-200M,652173.9130434783,0.0,681.2,11538459.319527052,0.0,2
10M-50M,509259.25925925927,0.0,1050.0,7857141.734694038,0.0,3
10M-50M,654761.9047619047,0.0,607.1999999999999,8333332.0707072625,0.0,0
10M-50M,292553.1914893617,0.0,1233.7,7534245.5432540355,0.0,3
10M-50M,568421.052631579,16.551724137931036,319.20000000000005,9642855.420918675,171.4285408163321,0
10M-50M,593220.3389830509,0.0,1128.6,10606058.99908197,0.0,3
10M-50M,743243.2432432432,0.0,963.9,8730157.34441947,0.0,3
200M+,544554.4554455446,0.0,1556.1,8730157.34441947,0.0,2
10M-50M,500000.0,0.0,156.0,8333331.944444676,0.0,0
200M+,523809.5238095238,0.0,581.4,10784311.610919293,0.0,2
200M+,430894.30894308945,0.0,598.6,7260272.978044798,0.0,2
200M+,561224.4897959183,0.0,1432.2,8870966.311134465,0.0,2
200M+,429687.5,0.0,330.0,9166665.138889143,0.0,2
200M+,482456.1403508772,0.0,737.0,8208953.998663582,0.0,2
200M+,647058.8235294118,0.0,896.0,8593748.657226771,0.0,2
200M+,31818.181818181823,0.0,646.8000000000001,166666.64682539925,0.0,2
200M+,218978.10218978103,0.0,2432.0,3749999.531250059,0.0,2
200M+,567010.3092783506,0.0,283.5,8730157.34441947,0.0,2
200M+,500000.0,0.0,963.5999999999999,8333332.0707072625,0.0,2
200M+,413533.83458646614,0.0,384.0,8593748.657226771,0.0,2
50M-100M,528846.1538461539,0.0,1359.6,8333332.0707072625,0.0,3
200M+,604395.6043956043,0.0,696.2,9322032.318299606,0.0,2
